person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
400414,MI,6,Nay,"Rep. Fred Upton [R, 1993-2022]",Republican,Fred Upton R-MI,repfredupton,MI,R
400416,NY,7,Yea,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,"Velázquez, Nydia ",nydiavelazquez,NY,D
400422,CA,43,Yea,"Rep. Maxine Waters [D, 2013-2024]",Democrat,Maxine Waters D-CA,repmaxinewaters,CA,D
400433,SC,2,Nay,"Rep. Joe Wilson [R, 2001-2024]",Republican,Joe Wilson R-SC,repjoewilson,SC,R
400440,AK,0,Nay,"Rep. Don Young [R, 1973-2022]",Republican,Don Young R-AK,repdonyoung,AK,R
400616,NC,1,Yea,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,,,
400618,CA,16,Yea,"Rep. Jim Costa [D, 2013-2022]",Democrat,"Costa, Jim",repjimcosta,CA,D
400623,FL,23,Yea,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,Debbie Wasserman Schultz D-FL,repdwstweets,FL,D
400639,MO,5,Yea,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,"Cleaver, Emanuel",repcleaver,MO,D
400640,NE,1,Nay,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,,,,
400641,NY,26,Yea,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,,,
400643,NC,5,Nay,"Rep. Virginia Foxx [R, 2005-2024]",Republican,"Foxx, Virginia",virginiafoxx,NC,R
400644,NC,10,Nay,"Rep. Patrick McHenry [R, 2005-2024]",Republican,"McHenry, Patrick ",patrickmchenry,NC,R
400651,TX,1,Nay,"Rep. Louie Gohmert [R, 2005-2022]",Republican,Louie Gohmert R-TX,replouiegohmert,TX,R
400653,TX,9,Yea,"Rep. Al Green [D, 2005-2024]",Democrat,Al Green D-TX,repalgreen,TX,D
400654,TX,10,Nay,"Rep. Michael McCaul [R, 2005-2024]",Republican,"McCaul, Michael ",repmccaul,TX,R
400657,TX,28,Yea,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,"Cuellar, Henry",repcuellar,TX,D
400659,WA,5,Nay,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,"Rodgers, Cathy McMorris",cathymcmorris,WA,R
400661,WI,4,Yea,"Rep. Gwen Moore [D, 2005-2024]",Democrat,Gwen Moore D-WI,repgwenmoore,WI,D
400663,CA,6,Yea,"Rep. Doris Matsui [D, 2013-2022]",Democrat,"Matsui, Doris ",dorismatsui,CA,D
407672,MD,7,Yea,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,"Mfume, Kweisi",repkweisimfume,MD,D
412186,NJ,8,Yea,"Rep. Albio Sires [D, 2013-2022]",Democrat,Albio Sires D-NJ,repsires,NJ,D
412189,CA,9,Yea,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,Jerry McNerney D-CA,repmcnerney,CA,D
412190,CA,23,Nay,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,"McCarthy, Kevin",speakermccarthy,CA,R
412191,CO,5,Nay,"Rep. Doug Lamborn [R, 2007-2024]",Republican,Doug Lamborn R-CO,repdlamborn,CO,R
412192,CO,7,Yea,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,Ed Perlmutter D-CO,repperlmutter,CO,D
412193,CT,2,Yea,"Rep. Joe Courtney [D, 2007-2024]",Democrat,"Courtney, Joe",repjoecourtney,CT,D
412195,FL,14,Yea,"Rep. Kathy Castor [D, 2013-2024]",Democrat,"Castor, Kathy",usrepkcastor,FL,D
412196,FL,16,Nay,"Rep. Vern Buchanan [R, 2013-2024]",Republican,"Buchanan, Vern",vernbuchanan,FL,R
412199,GA,4,Yea,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,"Johnson, Henry C. ""Hank"" Jr.",rephankjohnson,GA,D
412211,KY,3,Yea,"Rep. John Yarmuth [D, 2007-2022]",Democrat,John Yarmuth D-KY,repjohnyarmuth,KY,D
412212,MD,3,Yea,"Rep. John Sarbanes [D, 2007-2024]",Democrat,John Sarbanes D-MD,repsarbanes,MD,D
412213,MI,7,Nay,"Rep. Tim Walberg [R, 2011-2022]",Republican,Tim Walberg R-MI,repwalberg,MI,R
412217,NE,3,Nay,"Rep. Adrian Smith [R, 2007-2024]",Republican,Adrian Smith R-NE,repadriansmith,NE,R
412221,NY,9,Yea,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,"Clarke, Yvette ",repyvetteclarke,NY,D
412226,OH,4,Nay,"Rep. Jim Jordan [R, 2007-2024]",Republican,"Jordan, Jim",jim_jordan,OH,R
412236,TN,9,Yea,"Rep. Steve Cohen [D, 2007-2024]",Democrat,"Cohen, Steve",repcohen,TN,D
412239,VT,0,Yea,"Rep. Peter Welch [D, 2007-2022]",Democrat,,,,
412250,FL,12,Nay,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,"Bilirakis, Gus ",repgusbilirakis,FL,R
412255,VA,1,Nay,"Rep. Robert Wittman [R, 2007-2024]",Republican,"Wittman, Robert ",robwittman,VA,R
412256,OH,5,Nay,"Rep. Robert Latta [R, 2007-2024]",Republican,"Latta, Robert ",boblatta,OH,R
412257,IL,11,Yea,"Rep. Bill Foster [D, 2013-2024]",Democrat,Bill Foster D-IL,repbillfoster,IL,D
412258,IN,7,Yea,"Rep. André Carson [D, 2008-2024]",Democrat,Andre Carson D-IN,repandrecarson,IN,D
412259,CA,14,Yea,"Rep. Jackie Speier [D, 2013-2022]",Democrat,Jackie Speier D-CA,repspeier,CA,D
412261,LA,1,Nay,"Rep. Steve Scalise [R, 2008-2024]",Republican,"Scalise, Steve",stevescalise,LA,R
412272,VA,11,Yea,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,"Connolly, Gerald E. ""Gerry""",gerryconnolly,VA,D
412278,KY,2,Nay,"Rep. Brett Guthrie [R, 2009-2024]",Republican,Brett Guthrie R-KY,repguthrie,KY,R
412282,CT,4,Yea,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,"Himes, Jim",jahimes,CT,D
412286,AZ,2,Yea,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,Ann Kirkpatrick D-AZ,repkirkpatrick,AZ,D
412292,MO,3,Nay,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,Blaine Luetkemeyer R-MO,repblaine,MO,R
