person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
412490,CT,,Yea,Sen. Richard Blumenthal [D],Democrat,"Blumenthal, Richard",senblumenthal,CT,D
412491,FL,,Yea,Sen. Marco Rubio [R],Republican,"Rubio, Marco",marcorubio,FL,R
412492,KY,,Nay,Sen. Rand Paul [R],Republican,"Paul, Rand",randpaul,KY,R
412494,ND,,Nay,Sen. John Hoeven [R],Republican,"Hoeven, John",senjohnhoeven,ND,R
412495,UT,,Nay,Sen. Mike Lee [R],Republican,"Lee, Mike",senmikelee,UT,R
412496,WI,,Nay,Sen. Ron Johnson [R],Republican,"Johnson, Ron",senronjohnson,WI,R
412507,HI,,Yea,Sen. Brian Schatz [D],Democrat,Brian Schatz D-HI,senbrianschatz,HI,D
412508,AR,,Yea,Sen. Tom Cotton [R],Republican,"Cotton, Tom",sentomcotton,AR,R
412509,AZ,,Yea,Sen. Kyrsten Sinema [I],Independent,,,,
412533,IL,,Yea,Sen. Tammy Duckworth [D],Democrat,"Duckworth, Tammy",senduckworth,IL,D
412542,MA,,Nay,Sen. Elizabeth Warren [D],Democrat,Elizabeth Warren D-MA,senwarren,MA,D
412545,ME,,Yea,Sen. Angus King [I],Independent,Angus King I-ME,senangusking,ME,I
412549,MT,,Nay,Sen. Steve Daines [R],Republican,"Daines, Steve",stevedaines,MT,R
412555,ND,,Nay,Sen. Kevin Cramer [R],Republican,"Cramer, Kevin",senkevincramer,ND,R
412556,NE,,Yea,Sen. Deb Fischer [R],Republican,Deb Fischer R-NE,senatorfischer,NE,R
412568,OK,,Yea,Sen. Markwayne Mullin [R],Republican,Markwayne Mullin R-OK,repmullin,OK,R
412573,TX,,Nay,Sen. Ted Cruz [R],Republican,"Cruz, Ted",sentedcruz,TX,R
412582,VA,,Yea,Sen. Timothy “Tim” Kaine [D],Democrat,"Kaine, Tim",timkaine,VA,D
412598,NJ,,Nay,Sen. Cory Booker [D],Democrat,"Booker, Cory ",corybooker,NJ,D
412665,AK,,Yea,Sen. Dan Sullivan [R],Republican,Dan Sullivan R-AK,sendansullivan,AK,R
412667,IA,,Yea,Sen. Joni Ernst [R],Republican,"Ernst, Joni",senjoniernst,IA,R
412668,NC,,Yea,Sen. Thom Tillis [R],Republican,Thom Tillis R-NC,senthomtillis,NC,R
