person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
456897,HI,2,Nay,Rep. Jill Tokuda [D],Democrat,"Tokuda, Jill",repjilltokuda,HI,D
456898,IA,3,Yea,Rep. Zachary (Zach) Nunn [R],Republican,"Nunn, Zachary",zachnunn,IA,R
456899,IL,1,Nay,Rep. Jonathan Jackson [D],Democrat,"Jackson, Jonathan",rep_jackson,IL,D
456900,IL,3,Nay,Rep. Delia Ramirez [D],Democrat,"Ramirez, Delia",repdeliaramirez,IL,D
456901,IL,13,Nay,Rep. Nicole (Nikki) Budzinski [D],Democrat,"Budzinski, Nikki",repnikkib,IL,D
456902,IL,17,Nay,Rep. Eric Sorensen [D],Democrat,"Sorensen, Eric",repericsorensen,IL,D
456903,IN,9,Yea,Rep. Erin Houchin [R],Republican,"Houchin, Erin",rephouchin,IN,R
456904,KY,3,Nay,Rep. Morgan McGarvey [D],Democrat,"McGarvey, Morgan",repmcgarvey,KY,D
456905,MD,4,Nay,Rep. Glenn Ivey [D],Democrat,"Ivey, Glenn",repglennivey,MD,D
456906,MI,3,Nay,Rep. Hillary Scholten [D],Democrat,"Scholten, Hillary",repscholten,MI,D
456907,MI,10,Yea,Rep. John James [R],Republican,"James, John",repjames,MI,R
456908,MI,13,Nay,Rep. Shri Thanedar [D],Democrat,"Thanedar, Shri",repshrithanedar,MI,D
456909,MO,4,Yea,Rep. Mark Alford [R],Republican,"Alford, Mark",repmarkalford,MO,R
456910,MO,7,Yea,Rep. Eric Burlison [R],Republican,"Burlison, Eric",repericburlison,MO,R
456911,MS,4,Yea,Rep. Mike Ezell [R],Republican,"Ezell, Mike",repezell,MS,R
456912,NC,1,Yea,Rep. Donald Davis [D],Democrat,"Davis, Donald",repdondavis,NC,D
456913,NC,4,Nay,Rep. Valerie Foushee [D],Democrat,"Foushee, Valerie",valeriefoushee,NC,D
456914,NC,11,Yea,Rep. Charles (Chuck) Edwards [R],Republican,,,,
456915,NC,13,Nay,Rep. Wiley Nickel [D],Democrat,"Nickel, Wiley",repwileynickel,NC,D
456916,NC,14,Nay,Rep. Jeffrey Jackson [D],Democrat,"Jackson, Jeff",repjeffjackson,NC,D
456917,NJ,7,Yea,Rep. Thomas Kean [R],Republican,"Kean, Thomas",congressmankean,NJ,R
456918,NJ,8,Nay,Rep. Robert Jacobsen Menendez [D],Democrat,"Menendez, Bob",senatormenendez,NJ,D
456919,NM,2,Nay,Rep. Gabriel (Gabe) Vasquez [D],Democrat,"Vasquez, Gabe",repgabevasquez,NM,D
456920,NY,1,Yea,Rep. Nicolas LaLota [R],Republican,"LaLota, Nick",replalota,NY,R
456922,NY,4,Yea,Rep. Anthony D'Esposito [R],Republican,"D'Esposito, Anthony",repdesposito,NY,R
456923,NY,10,Nay,Rep. Dan Goldman [D],Democrat,"Goldman, Daniel",repdangoldman,NY,D
456924,NY,17,Yea,Rep. Michael Lawler [R],Republican,"Lawler, Michael",repmikelawler,NY,R
456925,NY,19,Yea,Rep. Marcus Molinaro [R],Republican,"Molinaro, Marcus",repmolinarony19,NY,R
456926,NY,22,Yea,Rep. Brandon Williams [R],Republican,"Williams, Brandon",repwilliams,NY,R
456927,NY,23,Yea,Rep. Nicholas Langworthy [R],Republican,"Langworthy, Nicholas",replangworthy,NY,R
456928,OH,1,Nay,Rep. Greg Landsman [D],Democrat,"Landsman, Greg",repgreglandsman,OH,D
456929,OH,7,Yea,Rep. Max Miller [R],Republican,"Miller, Max",repmaxmiller,OH,R
456930,OH,13,Nay,Rep. Emilia Sykes [D],Democrat,"Sykes, Emilia",repemiliasykes,OH,D
456931,OK,2,Yea,Rep. Josh Brecheen [R],Republican,"Brecheen, Josh",repbrecheen,OK,R
456932,OR,4,Nay,Rep. Valerie Hoyle [D],Democrat,"Hoyle, Val",repvalhoyle,OR,D
456933,OR,5,Yea,Rep. Lori Chavez-DeRemer [R],Republican,"Chavez-DeRemer, Lori",replcd,OR,R
456934,OR,6,Nay,Rep. Andrea Salinas [D],Democrat,"Salinas, Andrea",repsalinas,OR,D
456935,PA,12,Nay,Rep. Summer Lee [D],Democrat,"Lee, Summer",repsummerlee,PA,D
456936,PA,17,Nay,Rep. Chris Deluzio [D],Democrat,"Deluzio, Christopher",repdeluzio,PA,D
456937,RI,2,Nay,Rep. Seth Magaziner [D],Democrat,"Magaziner, Seth",rep_magaziner,RI,D
456938,SC,7,Yea,Rep. Russell Fry [R],Republican,"Fry, Russell",reprussellfry,SC,R
456939,TN,5,Yea,Rep. Andrew Ogles [R],Republican,"Ogles, Andrew",repogles,TN,R
456940,TX,1,Yea,Rep. Nathaniel Moran [R],Republican,"Moran, Nathaniel",repnatemoran,TX,R
456941,TX,3,Nay,Rep. Keith Self [R],Republican,"Self, Keith",repkeithself,TX,R
456942,TX,8,Yea,Rep. Morgan Luttrell [R],Republican,"Luttrell, Morgan",repluttrell,TX,R
456943,TX,15,Yea,Rep. Mónica De La Cruz [R],Republican,"Cruz, Ted",sentedcruz,TX,R
456944,TX,30,Nay,Rep. Jasmine Crockett [D],Democrat,"Crockett, Jasmine",repjasmine,TX,D
456945,TX,35,Nay,Rep. Gregorio Casar [D],Democrat,"Casar, Greg",repcasar,TX,D
456946,TX,38,Yea,Rep. Wesley Hunt [R],Republican,,,,
456947,VA,2,Yea,Rep. Jennifer Kiggans [R],Republican,"Kiggans, Jennifer",repjenkiggans,VA,R
456948,VT,0,Nay,Rep. Becca Balint [D],Democrat,"Balint, Becca",repbeccab,VT,D
456949,WA,3,Yea,Rep. Marie Gluesenkamp Perez [D],Democrat,"Perez, Marie",repmgp,WA,D
456950,WI,3,Yea,Rep. Derrick Van Orden [R],Republican,"Van Orden, Derrick",repvanorden,WI,R
456951,WY,0,Yea,Rep. Harriet Hageman [R],Republican,"Hageman, Harriet",rephageman,WY,R
456953,VA,4,Nay,Rep. Jennifer McClellan [D],Democrat,"McClellan, Jennifer",repmcclellan,VA,D
456955,RI,1,Nay,Rep. Gabe Amo [D],Democrat,,,,
456956,UT,2,Yea,Rep. Celeste Maloy [R],Republican,,,,
456957,NY,26,Nay,Rep. Timothy Kennedy [D],Democrat,,,,
456958,CA,20,Yea,Rep. Vince Fong [R],Republican,,,,
456959,OH,6,Yea,Rep. Michael Rulli [R],Republican,,,,
456960,CO,4,Yea,Rep. Greg Lopez [R],Republican,,,,
