person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
412665,AK,,Not Voting,Sen. Dan Sullivan [R],Republican,Dan Sullivan R-AK,sendansullivan,AK,R
412667,IA,,Nay,Sen. Joni Ernst [R],Republican,"Ernst, Joni",senjoniernst,IA,R
412668,NC,,Nay,Sen. Thom Tillis [R],Republican,Thom Tillis R-NC,senthomtillis,NC,R
412669,SD,,Nay,Sen. Mike Rounds [R],Republican,Mike Rounds R-SD,senatorrounds,SD,R
412671,NE,,Nay,"Sen. Benjamin “Ben” Sasse [R, 2015-2023]",Republican,Ben Sasse R-NE,sensasse,NE,R
412679,LA,,Nay,"Sen. John Neely Kennedy [R, 2017-2028]",Republican,John Kennedy R-LA,senjohnkennedy,LA,R
412680,NH,,Yea,"Sen. Margaret “Maggie” Hassan [D, 2017-2028]",Democrat,"Hassan, Maggie",senatorhassan,NH,D
412681,NV,,Yea,"Sen. Catherine Cortez Masto [D, 2017-2028]",Democrat,Catherine Masto D-NV,sencortezmasto,NV,D
412704,KS,,Nay,Sen. Roger Marshall [R],Republican,,,,
412715,NV,,Yea,Sen. Jacky Rosen [D],Democrat,Jacky Rosen D-NV,senjackyrosen,NV,D
412742,MN,,Yea,Sen. Tina Smith [D],Democrat,"Smith, Tina",sentinasmith,MN,D
412743,MS,,Nay,Sen. Cindy Hyde-Smith [R],Republican,Cindy Hyde-Smith R-MS,senhydesmith,MS,R
412838,FL,,Nay,Sen. Rick Scott [R],Republican,"Franklin, C. Scott",repfranklin,FL,R
412839,IN,,Nay,Sen. Mike Braun [R],Republican,"Braun, Mike",senatorbraun,IN,R
412840,MO,,Nay,Sen. Joshua “Josh” Hawley [R],Republican,"Hawley, Josh",hawleymo,MO,R
412841,UT,,Nay,Sen. Mitt Romney [R],Republican,Mitt Romney R-UT,senatorromney,UT,R
456794,AZ,,Yea,"Sen. Mark Kelly [D, 2020-2028]",Democrat,"Kelly, Mark",senmarkkelly,AZ,D
456796,AL,,Nay,Sen. Tommy Tuberville [R],Republican,Tommy Tuberville R-AL,sentuberville,AL,R
456797,CO,,Yea,Sen. John Hickenlooper [D],Democrat,"Hickenlooper, John ",senatorhick,CO,D
456798,TN,,Nay,Sen. Bill Hagerty [R],Republican,Bill Hagerty R-TN,senatorhagerty,TN,R
456856,CA,,Yea,"Sen. Alejandro “Alex” Padilla [D, 2021-2028]",Democrat,Alex Padilla D-CA,senalexpadilla,CA,D
456857,GA,,Yea,Sen. Jon Ossoff [D],Democrat,Jon Ossoff D-GA,senossoff,GA,D
456858,GA,,Yea,"Sen. Raphael Warnock [D, 2021-2028]",Democrat,Raphael Warnock D-GA,senatorwarnock,GA,D
